t_sec,target_speed_mmps,measured_speed_mmps,brake_percent,flags,fault_bits,target_steer_millirad,measured_steer_millirad
26.1424,0,0,0,1,0,0,49
26.193,0,0,0,1,0,0,46
26.2419,0,0,0,1,0,0,67
26.2924,0,0,0,1,0,0,52
26.342,0,0,0,1,0,0,55
26.3922,0,0,0,1,0,0,58
26.4426,0,0,0,1,0,0,46
26.4917,0,0,0,1,0,0,49
26.5423,0,0,0,1,0,0,49
26.5923,0,0,0,1,0,0,52
26.6417,0,0,0,1,0,0,49
26.6921,0,0,0,1,0,0,55
26.7427,0,0,0,1,0,0,55
26.7919,0,0,0,1,0,0,52
26.8424,0,0,0,1,0,0,55
26.8919,0,0,0,1,0,0,58
26.942,0,0,0,1,0,0,49
26.9924,0,0,0,1,0,0,55
27.0418,0,0,0,1,0,0,55
27.0925,0,0,0,1,0,0,46
27.143,0,0,0,1,0,0,55
27.1917,0,0,0,1,0,0,58
27.2422,0,0,0,1,0,0,64
27.2922,0,0,0,1,0,0,52
27.3424,0,0,0,1,0,0,49
27.392,0,0,0,1,0,0,52
27.4422,0,0,0,1,0,0,49
27.4924,0,0,0,1,0,0,49
27.5422,0,0,0,1,0,0,46
27.5921,0,0,0,1,0,0,58
27.6424,0,0,0,1,0,0,46
27.6925,0,0,0,1,0,0,58
27.7426,0,0,0,1,0,0,46
27.7925,0,0,0,1,0,0,58
27.8422,0,0,0,1,0,0,52
27.8928,0,0,0,1,0,0,58
27.9423,0,0,0,1,0,0,58
27.9925,0,0,0,1,0,0,46
28.0425,0,0,0,1,0,0,46
28.0925,0,0,0,1,0,0,58
28.1424,0,0,0,1,0,0,49
28.1924,0,0,0,1,0,0,58
28.2428,0,0,0,1,0,0,49
28.2922,0,0,0,1,0,0,55
28.3419,0,0,0,1,0,0,52
28.3922,0,0,0,1,0,0,49
28.4423,0,0,0,1,0,0,49
28.4924,0,0,0,1,0,0,46
28.5419,0,0,0,1,0,0,58
28.5919,0,0,0,1,0,0,25
28.642,0,0,0,1,0,0,49
28.6919,0,0,0,1,0,0,58
28.7418,0,0,0,1,0,0,70
28.792,0,0,0,1,0,0,49
28.8424,0,0,0,1,0,0,49
28.893,0,0,0,1,0,0,46
28.9419,0,0,0,1,0,0,49
28.9922,0,0,0,1,0,0,52
29.0424,0,0,0,1,0,0,46
29.0927,0,0,0,1,0,0,58
29.142,0,0,0,1,0,0,70
29.1922,0,0,0,1,0,0,55
29.2418,0,0,0,1,0,0,64
29.2922,0,0,0,1,0,0,55
29.3424,0,0,0,1,0,0,58
29.3925,0,0,0,1,0,0,49
29.4426,0,0,0,1,0,0,46
29.492,0,0,0,1,0,0,67
29.5423,0,0,0,1,0,0,58
29.5926,0,0,0,1,0,0,49
29.6427,0,0,0,1,0,0,58
29.6922,0,0,0,1,0,0,49
29.7422,0,0,0,1,0,0,46
29.7922,0,0,0,1,0,0,52
29.8422,0,0,0,1,0,0,58
29.8918,0,0,0,1,0,0,58
29.9422,0,0,0,1,0,0,46
29.9922,0,0,0,1,0,0,67
30.0423,0,0,0,1,0,0,58
30.0925,0,0,0,1,0,0,52
30.1421,0,0,0,1,0,0,49
30.1922,0,0,0,1,0,0,55
30.2422,0,0,0,1,0,0,58
30.2922,0,0,0,1,0,0,46
30.3428,0,0,0,1,0,0,46
30.3922,0,0,0,1,0,0,46
30.4422,0,0,0,1,0,0,52
30.4924,0,0,0,1,0,0,52
30.5422,0,0,0,1,0,0,58
30.5922,0,0,0,1,0,0,67
30.6418,0,0,0,1,0,0,52
30.6923,0,0,0,1,0,0,52
30.7423,0,0,0,1,0,0,58
30.7926,0,0,0,1,0,0,58
30.8418,0,0,0,1,0,0,70
30.892,0,0,0,1,0,0,55
30.9423,0,0,0,1,0,0,58
30.9916,0,0,0,1,0,0,46
31.0423,0,0,0,1,0,0,52
31.092,0,0,0,1,0,0,49
31.1422,0,0,0,1,0,0,49
31.1919,0,0,0,1,0,0,55
31.2421,0,0,0,1,0,0,58
31.2923,0,0,0,1,0,0,49
31.3421,0,0,0,1,0,0,49
31.3921,0,0,0,1,0,0,52
31.4417,0,0,0,1,0,0,58
31.4921,0,0,0,1,0,0,52
31.5419,0,0,0,1,0,0,55
31.5918,0,0,0,1,0,0,52
31.6419,0,0,0,1,0,0,58
31.6921,0,0,0,1,0,0,58
31.7431,0,0,0,1,0,0,55
31.7918,0,0,0,1,0,0,49
31.8418,0,0,0,1,0,0,52
31.8922,0,0,0,1,0,0,58
31.9418,0,0,0,1,0,0,52
31.9918,0,0,0,1,0,0,49
32.0429,0,0,0,1,0,0,58
32.0922,0,0,0,1,0,0,55
32.1419,0,0,0,1,0,0,58
32.1921,0,0,0,1,0,0,52
32.2418,0,0,0,1,0,0,55
32.2923,0,0,0,1,0,0,52
